date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:17	302834/302834	---M--	200	added ('OK')	image/png	etag:%220c18a14131bcf1:63c99%22	http://web365.vn/skin/thietkelaiwebsite.png	E:/Web/365/web365.vn/skin/thietkelaiwebsite.png	(from http://web365.vn/)
18:54:20	39441/39441	---M--	200	added ('OK')	image/png	etag:%220cbb7bca21cf1:63c99%22	http://web365.vn/skin/product2014/mau8.png	E:/Web/365/web365.vn/skin/product2014/mau8.png	(from http://web365.vn/)
18:54:22	45574/45574	---M--	200	added ('OK')	image/png	etag:%220cbb7bca21cf1:63c99%22	http://web365.vn/skin/product2014/mau7.png	E:/Web/365/web365.vn/skin/product2014/mau7.png	(from http://web365.vn/)
18:54:23	163771/163771	---M--	200	added ('OK')	image/png	etag:%2209fd3e8d421cf1:63c99%22	http://web365.vn/images/thiet-ke-website-chuyen-nghiep.png	E:/Web/365/web365.vn/images/thiet-ke-website-chuyen-nghiep.png	(from http://web365.vn/)
18:54:23	36268/36268	---M--	200	added ('OK')	image/png	etag:%220e43083cf21cf1:63c99%22	http://web365.vn/skin/product2014/mau3.png	E:/Web/365/web365.vn/skin/product2014/mau3.png	(from http://web365.vn/)
18:54:28	50095/50095	---M--	200	added ('OK')	image/png	etag:%220cbb7bca21cf1:63c99%22	http://web365.vn/skin/product2014/mau6.png	E:/Web/365/web365.vn/skin/product2014/mau6.png	(from http://web365.vn/)
18:54:29	35974/35974	---M--	200	added ('OK')	image/png	etag:%220cbb7bca21cf1:63c99%22	http://web365.vn/skin/product2014/mau9.png	E:/Web/365/web365.vn/skin/product2014/mau9.png	(from http://web365.vn/)
18:54:30	46255/46255	---M--	200	added ('OK')	image/png	etag:%220cbb7bca21cf1:63c99%22	http://web365.vn/skin/product2014/mau1.png	E:/Web/365/web365.vn/skin/product2014/mau1.png	(from http://web365.vn/)
18:54:31	50824/50824	---M--	200	added ('OK')	image/png	etag:%220cbb7bca21cf1:63c99%22	http://web365.vn/skin/product2014/mau4.png	E:/Web/365/web365.vn/skin/product2014/mau4.png	(from http://web365.vn/)
18:54:33	19619/19619	---M--	200	added ('OK')	image/gif	etag:%22073d2974adce1:63c99%22	http://web365.vn/skin/product/website-xe-oto.gif	E:/Web/365/web365.vn/skin/product/website-xe-oto.gif	(from http://web365.vn/)
18:54:35	44635/44635	---M--	200	added ('OK')	image/png	etag:%220cbb7bca21cf1:63c99%22	http://web365.vn/skin/product2014/mau10.png	E:/Web/365/web365.vn/skin/product2014/mau10.png	(from http://web365.vn/)
18:54:36	39229/39229	---M--	200	added ('OK')	image/png	etag:%220cedacd167fce1:63c99%22	http://web365.vn/skin/product/shop_dongho1.png	E:/Web/365/web365.vn/skin/product/shop_dongho1.png	(from http://web365.vn/)
18:54:38	16864/16864	---M--	200	added ('OK')	image/gif	etag:%22071fd8a74adce1:63c99%22	http://web365.vn/skin/product/my-phan-xach-tay.gif	E:/Web/365/web365.vn/skin/product/my-phan-xach-tay.gif	(from http://web365.vn/)
18:54:39	36173/36173	---M--	200	added ('OK')	image/png	etag:%220b4c317177fce1:63c99%22	http://web365.vn/skin/product/shop_mypham.png	E:/Web/365/web365.vn/skin/product/shop_mypham.png	(from http://web365.vn/)
